N,n,seed_a,seed_b,K_a,K_b,NMI,ARI
4,0.4,56791,56792,27,22,0.8054568424128604,0.5292278410214291
4,0.4,56791,56793,27,27,0.821202013601498,0.5870006455068816
4,0.4,56791,56794,27,25,0.8215261154578861,0.5828460387007963
4,0.4,56791,56795,27,21,0.8113501740193897,0.5537785210058813
4,0.4,56792,56793,22,27,0.8028177197057945,0.5215912113136052
4,0.4,56792,56794,22,25,0.8095315244608574,0.5384526013600649
4,0.4,56792,56795,22,21,0.804468047634174,0.5604605016252152
4,0.4,56793,56794,27,25,0.8080856710910784,0.5338857024190587
4,0.4,56793,56795,27,21,0.8109811821465602,0.5558818264226353
4,0.4,56794,56795,25,21,0.808619356725963,0.5456806847167244
4,0.8,56791,56792,21,22,0.8609374835867415,0.7074630402588696
4,0.8,56791,56793,21,23,0.8437448791426845,0.6574366597464327
4,0.8,56791,56794,21,23,0.8195414746523586,0.5921613282018912
4,0.8,56791,56795,21,23,0.834140087482495,0.6357595747887365
4,0.8,56792,56793,22,23,0.8451435561088013,0.6578418523141235
4,0.8,56792,56794,22,23,0.8211021683711048,0.5963765957176695
4,0.8,56792,56795,22,23,0.814238534868128,0.5731700892276411
4,0.8,56793,56794,23,23,0.8272407805444976,0.6043177126481992
4,0.8,56793,56795,23,23,0.8237591835771519,0.5978349938158638
4,0.8,56794,56795,23,23,0.8514138496420867,0.681069370979697
8,0.4,56791,56792,24,23,0.8268332536304579,0.6177019767615389
8,0.4,56791,56793,24,25,0.8349021533775938,0.643932886014426
8,0.4,56791,56794,24,24,0.8274825892296662,0.6221260932219
8,0.4,56791,56795,24,23,0.8167857429081342,0.5920769771980621
8,0.4,56792,56793,23,25,0.8233098793491218,0.6130286228068906
8,0.4,56792,56794,23,24,0.8197882389513264,0.5960044628316701
8,0.4,56792,56795,23,23,0.8180340920427119,0.5949710088327438
8,0.4,56793,56794,25,24,0.8162674071590774,0.5796418728353393
8,0.4,56793,56795,25,23,0.8106125589723479,0.5710070497859779
8,0.4,56794,56795,24,23,0.8230742968058228,0.6093256386493826
8,0.8,56791,56792,22,21,0.8235364213619787,0.6062937295644261
8,0.8,56791,56793,22,23,0.8238566334246256,0.6018479985254098
8,0.8,56791,56794,22,24,0.818261487229671,0.587014251580001
8,0.8,56791,56795,22,22,0.8490600699376674,0.6749746484935338
8,0.8,56792,56793,21,23,0.8365754581875942,0.6437863447855905
8,0.8,56792,56794,21,24,0.8324330270319784,0.6304514235821369
8,0.8,56792,56795,21,22,0.8454771347325871,0.675345091746568
8,0.8,56793,56794,23,24,0.8298570416328884,0.6145302946554643
8,0.8,56793,56795,23,22,0.8478619568883708,0.6702486682185824
8,0.8,56794,56795,24,22,0.8409249479796722,0.6555679982930906
