N,n,seed_a,seed_b,d_l2
4,0.4,56791,56792,0.0
4,0.4,56791,56793,0.08980265101338746
4,0.4,56791,56794,0.0
4,0.4,56791,56795,0.0
4,0.4,56792,56793,0.08980265101338746
4,0.4,56792,56794,0.0
4,0.4,56792,56795,0.0
4,0.4,56793,56794,0.08980265101338746
4,0.4,56793,56795,0.08980265101338746
4,0.4,56794,56795,0.0
4,0.8,56791,56792,0.03346747203760411
4,0.8,56791,56793,0.05208706677180509
4,0.8,56791,56794,0.0
4,0.8,56791,56795,0.07143212712319634
4,0.8,56792,56793,0.019956144669641664
4,0.8,56792,56794,0.03346747203760411
4,0.8,56792,56795,0.03991228933928331
4,0.8,56793,56794,0.05208706677180509
4,0.8,56793,56795,0.019956144669641643
4,0.8,56794,56795,0.07143212712319634
8,0.4,56791,56792,0.0
8,0.4,56791,56793,0.0
8,0.4,56791,56794,0.0
8,0.4,56791,56795,0.0
8,0.4,56792,56793,0.0
8,0.4,56792,56794,0.0
8,0.4,56792,56795,0.0
8,0.4,56793,56794,0.0
8,0.4,56793,56795,0.0
8,0.4,56794,56795,0.0
8,0.8,56791,56792,0.0
8,0.8,56791,56793,0.019956144669641643
8,0.8,56791,56794,0.019956144669641643
8,0.8,56791,56795,0.0
8,0.8,56792,56793,0.019956144669641643
8,0.8,56792,56794,0.019956144669641643
8,0.8,56792,56795,0.0
8,0.8,56793,56794,0.0
8,0.8,56793,56795,0.019956144669641643
8,0.8,56794,56795,0.019956144669641643
