N,n,metric,count,mean,std,median,q1,q3
4,0.4,d_l1,10,0.00967741935483871,0.00832899644345681,0.016129032258064516,0.0,0.016129032258064516
4,0.4,d_l2,10,0.05388159060803247,0.046373889576016826,0.08980265101338746,0.0,0.08980265101338746
4,0.4,d_max,10,0.3,0.2581988897471611,0.5,0.0,0.5
4,0.8,d_l1,10,0.01281362007168459,0.010940220504851987,0.008064516129032258,0.004032258064516129,0.021953405017921153
4,0.8,d_l2,10,0.0406808377776143,0.030905417892716034,0.031750031750047626,0.015875015875023813,0.06372016836630948
4,0.8,d_max,10,0.14305555555555557,0.10306516377292135,0.125,0.0625,0.20138888888888895
8,0.4,d_l1,10,0.0,0.0,0.0,0.0,0.0
8,0.4,d_l2,10,0.0,0.0,0.0,0.0,0.0
8,0.4,d_max,10,0.0,0.0,0.0,0.0,0.0
8,0.8,d_l1,10,0.008422939068100356,0.008745935904858834,0.0035842293906810014,0.0008960573476702504,0.01836917562724014
8,0.8,d_l2,10,0.03210101986933224,0.03004930589959484,0.019956144669641643,0.004989036167410411,0.06528544117109938
8,0.8,d_max,10,0.15277777777777773,0.13725895444790362,0.11111111111111105,0.027777777777777762,0.29861111111111105
