N,n,seed_a,seed_b,J_edges,J_events,edges_a,edges_b,events_a,events_b
4,0.4,56791,56792,0.008577194752774974,0.28145567169957414,2125,1873,1725,1585
4,0.4,56791,56793,0.009136811733589805,0.30325047801147226,2125,2072,1725,1683
4,0.4,56791,56794,0.013058764439979909,0.2891287586738628,2125,1909,1725,1619
4,0.4,56791,56795,0.01180395175776238,0.2929532858273951,2125,1818,1725,1541
4,0.4,56792,56793,0.007662835249042145,0.26666666666666666,1873,2072,1585,1683
4,0.4,56792,56794,0.012854847348687734,0.2805755395683453,1873,1909,1585,1619
4,0.4,56792,56795,0.010402408978921434,0.27539779681762544,1873,1818,1585,1541
4,0.4,56793,56794,0.011432926829268292,0.2954099646920361,2072,1909,1683,1619
4,0.4,56793,56795,0.010914760914760915,0.2738048202291584,2072,1818,1683,1541
4,0.4,56794,56795,0.009206607094503114,0.25646123260437376,1909,1818,1619,1541
4,0.8,56791,56792,0.016220880069025022,0.9603590127150337,5888,5890,1304,1317
4,0.8,56791,56793,0.016902380131079683,0.9397677793904209,5888,5904,1304,1369
4,0.8,56791,56794,0.017982190714964985,0.8987707881417208,5888,5887,1304,1322
4,0.8,56791,56795,0.018747300215982723,0.967448902346707,5888,5904,1304,1295
4,0.8,56792,56793,0.016636496853719505,0.9534545454545454,5890,5904,1317,1369
4,0.8,56792,56794,0.015696420871065115,0.929093567251462,5890,5887,1317,1322
4,0.8,56792,56795,0.015236291641559783,0.9713207547169811,5890,5904,1317,1295
4,0.8,56793,56794,0.01760593768878916,0.95,5904,5887,1369,1322
4,0.8,56793,56795,0.016966669537507535,0.9431072210065645,5904,5904,1369,1295
4,0.8,56794,56795,0.019101123595505618,0.922850844966936,5887,5904,1322,1295
8,0.4,56791,56792,0.0026827632461435278,0.10319023237495077,1495,1495,1390,1411
8,0.4,56791,56793,0.0026827632461435278,0.09854158454867955,1495,1495,1390,1397
8,0.4,56791,56794,0.004366812227074236,0.11372705506783719,1495,1495,1390,1401
8,0.4,56791,56795,0.0030191211003019122,0.09557383470426949,1495,1495,1390,1407
8,0.4,56792,56793,0.003355704697986577,0.10725552050473186,1495,1495,1411,1397
8,0.4,56792,56794,0.0013395847287340924,0.10665092483274302,1495,1495,1411,1401
8,0.4,56792,56795,0.004366812227074236,0.1116370808678501,1495,1495,1411,1407
8,0.4,56793,56794,0.0036925142665323934,0.11119936457505956,1495,1495,1397,1401
8,0.4,56793,56795,0.003355704697986577,0.10961614562722596,1495,1495,1397,1407
8,0.4,56794,56795,0.0026827632461435278,0.1103202846975089,1495,1495,1401,1407
8,0.8,56791,56792,0.009994896223205171,0.9735124760076775,11873,11874,2560,2581
8,0.8,56791,56793,0.008918333545674608,0.9626524390243902,11873,11884,2560,2590
8,0.8,56791,56794,0.010520039183951616,0.942394578313253,11873,11853,2560,2599
8,0.8,56791,56795,0.01008467724777669,0.978494623655914,11873,11865,2560,2592
8,0.8,56792,56793,0.00943235893949694,0.9736641221374046,11874,11884,2581,2590
8,0.8,56792,56794,0.009187188975373229,0.953979630328178,11874,11853,2581,2599
8,0.8,56792,56795,0.009568767542740495,0.9782026768642448,11874,11865,2581,2592
8,0.8,56793,56794,0.009827278141751042,0.9632992811199395,11884,11853,2590,2599
8,0.8,56793,56795,0.00960761807592569,0.9666034155597722,11884,11865,2590,2592
8,0.8,56794,56795,0.009835227998467238,0.9427395209580839,11853,11865,2599,2592
