N,n,seed_a,seed_b,J_edges,J_events,edges_a,edges_b,events_a,events_b,ball_comp_a,ball_comp_b
4,0.4,56791,56792,1.0,0.03531598513011153,0,0,320,237,1,1
4,0.4,56791,56793,0.0,0.05414551607445008,0,1,320,303,1,2
4,0.4,56791,56794,0.0,0.04905660377358491,0,1,320,236,1,2
4,0.4,56791,56795,0.0,0.045454545454545456,0,1,320,232,1,2
4,0.4,56792,56793,0.0,0.036468330134357005,0,1,237,303,1,2
4,0.4,56792,56794,0.0,0.03728070175438596,0,1,237,236,1,2
4,0.4,56792,56795,0.0,0.03076923076923077,0,1,237,232,1,2
4,0.4,56793,56794,0.0,0.030592734225621414,1,1,303,236,2,2
4,0.4,56793,56795,0.0,0.032818532818532815,1,1,303,232,2,2
4,0.4,56794,56795,0.0,0.033112582781456956,1,1,236,232,2,2
4,0.8,56791,56792,0.0,0.90546875,70,76,1217,1222,4,4
4,0.8,56791,56793,0.0,0.8788796366389099,70,58,1217,1265,4,4
4,0.8,56791,56794,0.0,0.8359788359788359,70,74,1217,1212,4,4
4,0.8,56791,56795,0.0,0.9100236779794791,70,60,1217,1203,4,6
4,0.8,56792,56793,0.0,0.882664647993944,76,58,1222,1265,4,4
4,0.8,56792,56794,0.0,0.8708685626441199,76,74,1222,1212,4,4
4,0.8,56792,56795,0.0,0.9094488188976378,76,60,1222,1203,4,6
4,0.8,56793,56794,0.0,0.862406015037594,58,74,1265,1212,4,4
4,0.8,56793,56795,0.0,0.8768060836501901,58,60,1265,1203,4,6
4,0.8,56794,56795,0.0,0.8562644119907763,74,60,1212,1203,4,6
8,0.4,56791,56792,1.0,0.012903225806451613,0,0,90,67,1,1
8,0.4,56791,56793,1.0,0.005714285714285714,0,0,90,86,1,1
8,0.4,56791,56794,1.0,0.005917159763313609,0,0,90,80,1,1
8,0.4,56791,56795,1.0,0.012121212121212121,0,0,90,77,1,1
8,0.4,56792,56793,1.0,0.0,0,0,67,86,1,1
8,0.4,56792,56794,1.0,0.00684931506849315,0,0,67,80,1,1
8,0.4,56792,56795,1.0,0.0,0,0,67,77,1,1
8,0.4,56793,56794,1.0,0.006060606060606061,0,0,86,80,1,1
8,0.4,56793,56795,1.0,0.012422360248447204,0,0,86,77,1,1
8,0.4,56794,56795,1.0,0.0,0,0,80,77,1,1
8,0.8,56791,56792,0.0,0.9154426359666534,73,70,2405,2420,3,3
8,0.8,56791,56793,0.0,0.9078377313903111,73,56,2405,2439,3,3
8,0.8,56791,56794,0.0,0.8896307934014139,73,84,2405,2406,3,4
8,0.8,56791,56795,0.0,0.9155714854639586,73,70,2405,2405,3,3
8,0.8,56792,56793,0.0,0.9152542372881356,70,56,2420,2439,3,3
8,0.8,56792,56794,0.0,0.8970125786163522,70,84,2420,2406,3,4
8,0.8,56792,56795,0.0,0.9154426359666534,70,70,2420,2405,3,3
8,0.8,56793,56794,0.0,0.9059795436664044,56,84,2439,2406,3,4
8,0.8,56793,56795,0.0,0.90633608815427,56,70,2439,2405,3,3
8,0.8,56794,56795,0.006535947712418301,0.8874068262063555,84,70,2406,2405,4,3
