N,n,seed,edge_source,resolution,K,super_nodes,super_edges,transitivity,clustering_mean,F_mean,F_std,F_median,F_q1,F_q3,F_min,F_max,F_pos_frac,Faug_mean,Faug_std,Faug_median,Faug_q1,Faug_q3,Faug_min,Faug_max,Faug_pos_frac,tri_mean,tri_median
4,0.4,56791,core,1.0,46,46,46,0.0625,0.03623188405797101,-0.08695652173913043,0.46313362393934254,0.0,0.0,0.0,-2.0,1.0,0.043478260869565216,0.10869565217391304,0.5261288760397955,0.0,0.0,0.0,-1.0,2.0,0.10869565217391304,0.06521739130434782,0.0
4,0.4,56792,core,1.0,48,47,46,0.0,0.0,0.043478260869565216,0.2061845709423622,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,0.043478260869565216,0.2061845709423622,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,0.0,0.0
4,0.4,56793,core,1.0,43,43,43,0.06666666666666667,0.03875968992248062,-0.09302325581395349,0.47878583980593153,0.0,0.0,0.0,-2.0,1.0,0.046511627906976744,0.11627906976744186,0.5437656325319977,0.0,0.0,0.0,-1.0,2.0,0.11627906976744186,0.06976744186046512,0.0
4,0.4,56794,core,1.0,44,43,42,0.0,0.0,0.047619047619047616,0.21554026870452117,0.0,0.0,0.0,0.0,1.0,0.047619047619047616,0.047619047619047616,0.21554026870452117,0.0,0.0,0.0,0.0,1.0,0.047619047619047616,0.0,0.0
4,0.4,56795,core,1.0,42,42,41,0.0,0.0,0.04878048780487805,0.21808478995509087,0.0,0.0,0.0,0.0,1.0,0.04878048780487805,0.04878048780487805,0.21808478995509087,0.0,0.0,0.0,0.0,1.0,0.04878048780487805,0.0,0.0
4,0.8,56791,core,1.0,22,22,21,0.0,0.0,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.0,0.0
4,0.8,56792,core,1.0,22,22,21,0.0,0.0,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.0,0.0
4,0.8,56793,core,1.0,21,21,20,0.0,0.0,0.1,0.30779350562554625,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.30779350562554625,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0
4,0.8,56794,core,1.0,22,22,21,0.0,0.0,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.0,0.0
4,0.8,56795,core,1.0,22,22,21,0.0,0.0,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.0,0.0
8,0.4,56791,core,1.0,79,79,83,0.15463917525773196,0.10548523206751054,-0.3373493975903614,0.6300814588013541,0.0,-1.0,0.0,-2.0,1.0,0.012048192771084338,0.20481927710843373,0.8078733924077749,0.0,0.0,0.0,-2.0,2.0,0.1927710843373494,0.18072289156626506,0.0
8,0.4,56792,core,1.0,77,77,77,0.0379746835443038,0.021645021645021644,-0.05194805194805195,0.35894963347405046,0.0,0.0,0.0,-2.0,1.0,0.025974025974025976,0.06493506493506493,0.4083877909943187,0.0,0.0,0.0,-1.0,2.0,0.06493506493506493,0.03896103896103896,0.0
8,0.4,56793,core,1.0,74,74,75,0.075,0.04504504504504505,-0.13333333333333333,0.4745789978762495,0.0,0.0,0.0,-2.0,1.0,0.02666666666666667,0.10666666666666667,0.5592788148971788,0.0,0.0,0.0,-1.0,2.0,0.10666666666666667,0.08,0.0
8,0.4,56794,core,1.0,73,73,74,0.075,0.045662100456621,-0.16216216216216217,0.4973085651380283,0.0,0.0,0.0,-2.0,1.0,0.02702702702702703,0.08108108108108109,0.5911854067182506,0.0,0.0,0.0,-1.0,2.0,0.10810810810810811,0.08108108108108109,0.0
8,0.4,56795,core,1.0,80,80,82,0.09782608695652174,0.05833333333333333,-0.24390243902439024,0.6769754013758933,0.0,0.0,0.0,-3.0,1.0,0.024390243902439025,0.08536585365853659,0.5709255970248235,0.0,0.0,0.0,-1.0,2.0,0.10975609756097561,0.10975609756097561,0.0
8,0.8,56791,core,1.0,21,21,20,0.0,0.0,0.1,0.30779350562554625,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.30779350562554625,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0
8,0.8,56792,core,1.0,22,22,21,0.0,0.0,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.0,0.0
8,0.8,56793,core,1.0,23,23,22,0.0,0.0,0.09090909090909091,0.29424494316824984,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.09090909090909091,0.29424494316824984,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.0,0.0
8,0.8,56794,core,1.0,22,22,21,0.0,0.0,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,0.0,0.0
8,0.8,56795,core,1.0,23,23,22,0.0,0.0,0.09090909090909091,0.29424494316824984,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.09090909090909091,0.29424494316824984,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.0,0.0
