N,n,seed,bins_logged,threads,partition_source,supergraph_source,K,super_nodes,super_edges,transitions_total,transitions_mapped,coverage,missing_labels,inf_hops,frac_d0,frac_d1,frac_d2,frac_dge3,mean_d,mean_d_cond_change,core_frac_d0,core_frac_d1,core_frac_d2,core_frac_dge3,core_mean_d,core_mean_d_cond_change,halo_frac_d0,halo_frac_d1,halo_frac_d2,halo_frac_dge3,halo_mean_d,halo_mean_d_cond_change
4,0.4,56791,20,4,all,all,23,23,22,76,76,1.0,0,0,0.039473684210526314,0.7631578947368421,0.19736842105263158,0.0,1.1578947368421053,1.2054794520547945,0.041666666666666664,0.7916666666666666,0.16666666666666666,0.0,1.125,1.173913043478261,0.038461538461538464,0.75,0.21153846153846154,0.0,1.1730769230769231,1.22
4,0.4,56792,20,4,all,all,25,25,24,76,76,1.0,0,0,0.0,0.7368421052631579,0.2631578947368421,0.0,1.263157894736842,1.263157894736842,0.0,0.76,0.24,0.0,1.24,1.24,0.0,0.7254901960784313,0.27450980392156865,0.0,1.2745098039215685,1.2745098039215685
4,0.4,56793,20,4,all,all,24,24,23,76,76,1.0,0,0,0.06578947368421052,0.6578947368421053,0.27631578947368424,0.0,1.2105263157894737,1.295774647887324,0.07407407407407407,0.5555555555555556,0.37037037037037035,0.0,1.2962962962962963,1.4,0.061224489795918366,0.7142857142857143,0.22448979591836735,0.0,1.163265306122449,1.2391304347826086
4,0.4,56794,20,4,all,all,28,28,27,76,76,1.0,0,0,0.0,0.5789473684210527,0.42105263157894735,0.0,1.4210526315789473,1.4210526315789473,0.0,0.6551724137931034,0.3448275862068966,0.0,1.3448275862068966,1.3448275862068966,0.0,0.5319148936170213,0.46808510638297873,0.0,1.4680851063829787,1.4680851063829787
4,0.4,56795,20,4,all,all,23,23,22,76,76,1.0,0,0,0.11842105263157894,0.6052631578947368,0.27631578947368424,0.0,1.1578947368421053,1.3134328358208955,0.10714285714285714,0.6428571428571429,0.25,0.0,1.1428571428571428,1.28,0.125,0.5833333333333334,0.2916666666666667,0.0,1.1666666666666667,1.3333333333333333
8,0.4,56791,20,8,all,all,24,24,23,152,152,1.0,0,0,0.013157894736842105,0.7631578947368421,0.2236842105263158,0.0,1.2105263157894737,1.2266666666666666,0.0,0.7894736842105263,0.21052631578947367,0.0,1.2105263157894737,1.2105263157894737,0.015037593984962405,0.7593984962406015,0.22556390977443608,0.0,1.2105263157894737,1.2290076335877862
8,0.4,56792,20,8,all,all,24,24,23,152,152,1.0,0,0,0.09210526315789473,0.6052631578947368,0.3026315789473684,0.0,1.2105263157894737,1.3333333333333333,0.10526315789473684,0.5789473684210527,0.3157894736842105,0.0,1.2105263157894737,1.3529411764705883,0.09022556390977443,0.6090225563909775,0.3007518796992481,0.0,1.2105263157894737,1.3305785123966942
8,0.4,56793,20,8,all,all,24,24,23,152,152,1.0,0,0,0.006578947368421052,0.7763157894736842,0.21710526315789475,0.0,1.2105263157894737,1.218543046357616,0.0,0.7894736842105263,0.21052631578947367,0.0,1.2105263157894737,1.2105263157894737,0.007518796992481203,0.7744360902255639,0.21804511278195488,0.0,1.2105263157894737,1.2196969696969697
8,0.4,56794,20,8,all,all,25,25,24,152,152,1.0,0,0,0.07894736842105263,0.5789473684210527,0.34210526315789475,0.0,1.263157894736842,1.3714285714285714,0.10526315789473684,0.5263157894736842,0.3684210526315789,0.0,1.263157894736842,1.411764705882353,0.07518796992481203,0.5864661654135338,0.3383458646616541,0.0,1.263157894736842,1.3658536585365855
8,0.4,56795,20,8,all,all,21,21,20,152,152,1.0,0,0,0.05921052631578947,0.8289473684210527,0.1118421052631579,0.0,1.0526315789473684,1.118881118881119,0.05263157894736842,0.8421052631578947,0.10526315789473684,0.0,1.0526315789473684,1.1111111111111112,0.06015037593984962,0.8270676691729323,0.11278195488721804,0.0,1.0526315789473684,1.12
