N,n,seed_a,seed_b,K_a,K_b,NMI,ARI
16,0.8,56791,56792,15,14,0.7909127949173399,0.562030637242038
16,0.8,56791,56793,15,17,0.7784026442265605,0.5129978392529554
16,0.8,56791,56794,15,17,0.7919655111853385,0.5508746773608323
16,0.8,56791,56795,15,16,0.7884612116580857,0.5648553642347793
16,0.8,56792,56793,14,17,0.8468253883361976,0.6928580939515109
16,0.8,56792,56794,14,17,0.813473293736174,0.6203706102929797
16,0.8,56792,56795,14,16,0.8124439283535311,0.6360473421627061
16,0.8,56793,56794,17,17,0.8183240746361342,0.618357702686691
16,0.8,56793,56795,17,16,0.8094077407647303,0.6124119561206711
16,0.8,56794,56795,17,16,0.829203696107821,0.6492735482235201
