N,n,seed_a,seed_b,J_super_edges,corr_weights,edges_a,edges_b,common_edges
16,0.8,56791,56792,0.5660377358490566,0.7713950947449205,43,40,30
16,0.8,56791,56793,0.559322033898305,0.6850595423758422,43,49,33
16,0.8,56791,56794,0.559322033898305,0.6108615602416243,43,49,33
16,0.8,56791,56795,0.5344827586206896,0.5638738357525127,43,46,31
16,0.8,56792,56793,0.6792452830188679,0.7953282446781317,40,49,36
16,0.8,56792,56794,0.5614035087719298,0.8692633652530593,40,49,32
16,0.8,56792,56795,0.5925925925925926,0.8383135710750402,40,46,32
16,0.8,56793,56794,0.5555555555555556,0.8230057144952106,49,49,35
16,0.8,56793,56795,0.5573770491803278,0.8203924437836316,49,46,34
16,0.8,56794,56795,0.6101694915254238,0.7929971763070918,49,46,36
