N,n,seed_a,seed_b,K_a,K_b,NMI,ARI
4,0.4,56791,56792,48,45,0.8300820646518148,0.5919844359687514
4,0.4,56791,56793,48,43,0.8263124714514487,0.5380718865021809
4,0.4,56791,56794,48,45,0.8376280761879817,0.6131874426617187
4,0.4,56791,56795,48,40,0.8332855895435465,0.5983082574176846
4,0.4,56792,56793,45,43,0.8273106698760796,0.5631223024642293
4,0.4,56792,56794,45,45,0.8309328120972814,0.5872754076994728
4,0.4,56792,56795,45,40,0.8272733935207641,0.5571394869804546
4,0.4,56793,56794,43,45,0.831250332894785,0.5993519414685905
4,0.4,56793,56795,43,40,0.8370725656526441,0.6130256909084041
4,0.4,56794,56795,45,40,0.8457705595148136,0.6835741165112581
4,0.8,56791,56792,21,22,0.8609374835867415,0.7074630402588696
4,0.8,56791,56793,21,23,0.8437448791426845,0.6574366597464327
4,0.8,56791,56794,21,23,0.8195414746523586,0.5921613282018912
4,0.8,56791,56795,21,23,0.834140087482495,0.6357595747887365
4,0.8,56792,56793,22,23,0.8451435561088013,0.6578418523141235
4,0.8,56792,56794,22,23,0.8211021683711048,0.5963765957176695
4,0.8,56792,56795,22,23,0.814238534868128,0.5731700892276411
4,0.8,56793,56794,23,23,0.8272407805444976,0.6043177126481992
4,0.8,56793,56795,23,23,0.8237591835771519,0.5978349938158638
4,0.8,56794,56795,23,23,0.8514138496420867,0.681069370979697
8,0.4,56791,56792,79,78,0.8318350794397501,0.5242265903427387
8,0.4,56791,56793,79,70,0.8431232335479715,0.562036671306208
8,0.4,56791,56794,79,72,0.8408715374767409,0.5557704264025505
8,0.4,56791,56795,79,78,0.8320255966444656,0.5299701831279007
8,0.4,56792,56793,78,70,0.8371388999828985,0.5340785583428965
8,0.4,56792,56794,78,72,0.8396385733688938,0.5594092978747127
8,0.4,56792,56795,78,78,0.8394609970000206,0.532350496789301
8,0.4,56793,56794,70,72,0.8398278617007868,0.5516495055012012
8,0.4,56793,56795,70,78,0.8420437902610355,0.5605627884795011
8,0.4,56794,56795,72,78,0.835696399886984,0.5217005374125978
8,0.8,56791,56792,22,21,0.8235364213619787,0.6062937295644261
8,0.8,56791,56793,22,23,0.8238566334246256,0.6018479985254098
8,0.8,56791,56794,22,24,0.818261487229671,0.587014251580001
8,0.8,56791,56795,22,22,0.8490600699376674,0.6749746484935338
8,0.8,56792,56793,21,23,0.8365754581875942,0.6437863447855905
8,0.8,56792,56794,21,24,0.8324330270319784,0.6304514235821369
8,0.8,56792,56795,21,22,0.8454771347325871,0.675345091746568
8,0.8,56793,56794,23,24,0.8298570416328884,0.6145302946554643
8,0.8,56793,56795,23,22,0.8478619568883708,0.6702486682185824
8,0.8,56794,56795,24,22,0.8409249479796722,0.6555679982930906
