N,n,seed_a,seed_b,comp_a,comp_b,d_l2
4,0.4,56791,56792,48,44,0.025241306814596496
4,0.4,56791,56793,48,43,0.02258068246855213
4,0.4,56791,56794,48,44,0.014322803028271186
4,0.4,56791,56795,48,40,0.04914103693419395
4,0.4,56792,56793,44,43,0.002852093547583791
4,0.4,56792,56794,44,44,0.01096302912450301
4,0.4,56792,56795,44,40,0.023959518970456912
4,0.4,56793,56794,43,44,0.008268186677551942
4,0.4,56793,56795,43,40,0.026567541084785904
4,0.4,56794,56795,44,40,0.03483531835952008
4,0.8,56791,56792,21,22,0.017226537406769566
4,0.8,56791,56793,21,23,0.03401937659559158
4,0.8,56791,56794,21,23,0.03401937659559158
4,0.8,56791,56795,21,23,0.03401937659559158
4,0.8,56792,56793,22,23,0.016815582967144183
4,0.8,56792,56794,22,23,0.016815582967144183
4,0.8,56792,56795,22,23,0.016815582967144183
4,0.8,56793,56794,23,23,0.0
4,0.8,56793,56795,23,23,0.0
4,0.8,56794,56795,23,23,0.0
8,0.4,56791,56792,79,78,0.004162300496365674
8,0.4,56791,56793,79,70,0.013328950149538568
8,0.4,56791,56794,79,72,0.005868179204015515
8,0.4,56791,56795,79,78,0.0018520144185294113
8,0.4,56792,56793,78,70,0.01742152971042681
8,0.4,56792,56794,78,72,0.009920288462541532
8,0.4,56792,56795,78,78,0.0024579055564861053
8,0.4,56793,56794,70,72,0.007509262718446086
8,0.4,56793,56795,70,78,0.014984240780819676
8,0.4,56794,56795,72,78,0.007484681973147099
8,0.8,56791,56792,22,21,0.017226537406769566
8,0.8,56791,56793,22,23,0.016815582967144183
8,0.8,56791,56794,22,24,0.03319059457694596
8,0.8,56791,56795,22,22,0.0
8,0.8,56792,56793,21,23,0.03401937659559158
8,0.8,56792,56794,21,24,0.05035797998003851
8,0.8,56792,56795,21,22,0.017226537406769566
8,0.8,56793,56794,23,24,0.016389369421346032
8,0.8,56793,56795,23,22,0.016815582967144183
8,0.8,56794,56795,24,22,0.03319059457694596
