N,n,seed,edge_source,resolution,t,P0,d_s
4,0.4,56791,all,1.0,0,1.0,
4,0.4,56791,all,1.0,1,0.0,
4,0.4,56791,all,1.0,2,0.5244,-0.0
4,0.4,56791,all,1.0,3,0.0,0.7601337046663246
4,0.4,56791,all,1.0,4,0.40295,-0.0
4,0.4,56791,all,1.0,5,0.0,0.7694519946485526
4,0.4,56791,all,1.0,6,0.34475,-0.0
4,0.4,56791,all,1.0,7,0.0,0.9747176010956814
4,0.4,56791,all,1.0,8,0.29965,-0.0
4,0.4,56791,all,1.0,9,0.0,0.9405083186363757
4,0.4,56791,all,1.0,10,0.2698,-0.0
4,0.4,56791,all,1.0,11,0.0,0.7095901464996799
4,0.4,56791,all,1.0,12,0.2529,-0.0
4,0.4,56791,all,1.0,13,0.0,0.41704895176353873
4,0.4,56791,all,1.0,14,0.2449,-0.0
4,0.4,56791,all,1.0,15,0.0,0.7396375780378353
4,0.4,56791,all,1.0,16,0.2331,-0.0
4,0.4,56791,all,1.0,17,0.0,1.0014516801635638
4,0.4,56791,all,1.0,18,0.21975,-0.0
4,0.4,56791,all,1.0,19,0.0,0.46343595511025704
4,0.4,56791,all,1.0,20,0.21445,-0.0
4,0.4,56791,all,1.0,21,0.0,1.4114413456014303
4,0.4,56791,all,1.0,22,0.2005,-0.0
4,0.4,56791,all,1.0,23,0.0,0.7693634017999076
4,0.4,56791,all,1.0,24,0.1939,-0.0
4,0.4,56791,all,1.0,25,0.0,0.23954230773384613
4,0.4,56791,all,1.0,26,0.19205,-0.0
4,0.4,56791,all,1.0,27,0.0,0.6686791942119875
4,0.4,56791,all,1.0,28,0.18735,-0.0
4,0.4,56791,all,1.0,29,0.0,0.5072824662464912
4,0.4,56791,all,1.0,30,0.1841,-0.0
4,0.4,56791,all,1.0,31,0.0,1.0877540711185576
4,0.4,56791,all,1.0,32,0.17775,-0.0
4,0.4,56791,all,1.0,33,0.0,0.420259142102436
4,0.4,56791,all,1.0,34,0.1755,-0.0
4,0.4,56791,all,1.0,35,0.0,0.9908395263603514
4,0.4,56791,all,1.0,36,0.1706,-0.0
4,0.4,56791,all,1.0,37,0.0,0.5020984449326878
4,0.4,56791,all,1.0,38,0.1683,-0.0
4,0.4,56791,all,1.0,39,0.0,0.8786187776186395
4,0.4,56791,all,1.0,40,0.16455,-0.0
4,0.4,56791,all,1.0,41,0.0,0.9067695516544587
4,0.4,56791,all,1.0,42,0.16095,-0.0
4,0.4,56791,all,1.0,43,0.0,1.4119341805475079
4,0.4,56791,all,1.0,44,0.15575,-0.0
4,0.4,56791,all,1.0,45,0.0,0.3334410644541539
4,0.4,56791,all,1.0,46,0.1546,-0.0
4,0.4,56791,all,1.0,47,0.0,-0.07592974174957448
4,0.4,56791,all,1.0,48,0.15485,-0.0
4,0.4,56791,all,1.0,49,0.0,0.5568372584016829
4,0.4,56791,all,1.0,50,0.1531,-0.0
4,0.4,56791,all,1.0,51,0.0,1.111159376187733
4,0.4,56791,all,1.0,52,0.1498,-0.0
4,0.4,56791,all,1.0,53,0.0,1.5252332149613428
4,0.4,56791,all,1.0,54,0.14555,-0.0
4,0.4,56791,all,1.0,55,0.0,-2.67326672645554
4,0.4,56791,all,1.0,56,0.1528,-0.0
4,0.4,56791,all,1.0,57,0.0,3.1437157282435244
4,0.4,56791,all,1.0,58,0.1446,-0.0
4,0.4,56791,all,1.0,59,0.0,1.6339532215964139
4,0.4,56791,all,1.0,60,0.14065,-0.0
4,0.4,56791,all,1.0,61,0.0,-0.5181867779436554
4,0.4,56791,all,1.0,62,0.14185,-0.0
4,0.4,56791,all,1.0,63,0.0,1.80190214424753
4,0.4,56791,all,1.0,64,0.13785,-0.0
4,0.4,56791,all,1.0,65,0.0,-0.30574810467854635
4,0.4,56791,all,1.0,66,0.1385,-0.0
4,0.4,56791,all,1.0,67,0.0,2.588906326496515
4,0.4,56791,all,1.0,68,0.13325,-0.0
4,0.4,56791,all,1.0,69,0.0,-1.6626146391414125
4,0.4,56791,all,1.0,70,0.1365,-0.0
4,0.4,56791,all,1.0,71,0.0,2.784486489337829
4,0.4,56791,all,1.0,72,0.13125,-0.0
4,0.4,56791,all,1.0,73,0.0,0.5863118554816695
4,0.4,56791,all,1.0,74,0.1302,-0.0
4,0.4,56791,all,1.0,75,0.0,-1.001290646042899
4,0.4,56791,all,1.0,76,0.13195,-0.0
4,0.4,56791,all,1.0,77,0.0,2.279984565981214
4,0.4,56791,all,1.0,78,0.1281,-0.0
4,0.4,56791,all,1.0,79,0.0,-1.1022845881858006
4,0.4,56791,all,1.0,80,0.1299,-0.0
4,0.4,56791,all,1.0,81,0.0,1.9883097517864652
4,0.4,56791,all,1.0,82,0.12675,-0.0
4,0.4,56791,all,1.0,83,0.0,-2.133191775856798
4,0.4,56791,all,1.0,84,0.13005,-0.0
4,0.4,56791,all,1.0,85,0.0,1.2841023059229197
4,0.4,56791,all,1.0,86,0.1281,-0.0
4,0.4,56791,all,1.0,87,0.0,1.5070579281452998
4,0.4,56791,all,1.0,88,0.1259,-0.0
4,0.4,56791,all,1.0,89,0.0,-0.4231208662193904
4,0.4,56791,all,1.0,90,0.1265,-0.0
4,0.4,56791,all,1.0,91,0.0,1.121862069334089
4,0.4,56791,all,1.0,92,0.12495,-0.0
4,0.4,56791,all,1.0,93,0.0,3.1026905759225563
4,0.4,56791,all,1.0,94,0.12085,-0.0
4,0.4,56791,all,1.0,95,0.0,-2.7121558158724635
4,0.4,56791,all,1.0,96,0.12435,-0.0
4,0.4,56791,all,1.0,97,0.0,1.4143127385467644
4,0.4,56791,all,1.0,98,0.12255,-0.0
4,0.4,56791,all,1.0,99,0.0,1.260085015075423
4,0.4,56791,all,1.0,100,0.121,-0.0
4,0.4,56791,all,1.0,101,0.0,1.3444018754832736
4,0.4,56791,all,1.0,102,0.1194,-0.0
4,0.4,56791,all,1.0,103,0.0,0.562234412178624
4,0.4,56791,all,1.0,104,0.11875,-0.0
4,0.4,56791,all,1.0,105,0.0,3.8266743884685974
4,0.4,56791,all,1.0,106,0.1145,-0.0
4,0.4,56791,all,1.0,107,0.0,-1.2079672381167341
4,0.4,56791,all,1.0,108,0.1158,-0.0
4,0.4,56791,all,1.0,109,0.0,-0.0
4,0.4,56791,all,1.0,110,0.1158,-0.0
4,0.4,56791,all,1.0,111,0.0,-0.33497717966397744
4,0.4,56791,all,1.0,112,0.11615,-0.0
4,0.4,56791,all,1.0,113,0.0,3.156823029783071
4,0.4,56791,all,1.0,114,0.11295,-0.0
4,0.4,56791,all,1.0,115,0.0,-1.0136434196057282
4,0.4,56791,all,1.0,116,0.11395,-0.0
4,0.4,56791,all,1.0,117,0.0,0.7209354295674771
4,0.4,56791,all,1.0,118,0.11325,-0.0
4,0.4,56791,all,1.0,119,0.0,0.3156426222745915
4,0.4,56791,all,1.0,120,0.11295,-0.0
4,0.4,56791,all,1.0,121,0.0,-2.0711028198554486
4,0.4,56791,all,1.0,122,0.1149,-0.0
4,0.4,56791,all,1.0,123,0.0,3.6393992799480266
4,0.4,56791,all,1.0,124,0.11155,-0.0
4,0.4,56791,all,1.0,125,0.0,-0.7262435324664666
4,0.4,56791,all,1.0,126,0.1122,-0.0
4,0.4,56791,all,1.0,127,0.0,2.1114406308527096
4,0.4,56791,all,1.0,128,0.11035,-0.0
4,0.4,56791,all,1.0,129,0.0,0.7620864735929391
4,0.4,56791,all,1.0,130,0.1097,-0.0
4,0.4,56791,all,1.0,131,0.0,-3.5343183905523863
4,0.4,56791,all,1.0,132,0.1127,-0.0
4,0.4,56791,all,1.0,133,0.0,1.2449154269120093
4,0.4,56791,all,1.0,134,0.11165,-0.0
4,0.4,56791,all,1.0,135,0.0,3.242788655481832
4,0.4,56791,all,1.0,136,0.109,-0.0
4,0.4,56791,all,1.0,137,0.0,0.4406082218028487
4,0.4,56791,all,1.0,138,0.10865,-0.0
4,0.4,56791,all,1.0,139,0.0,5.679489924913656
