N,n,seed,edge_source,resolution,K_super,E_super,ds_plateau_mean,ds_plateau_std,ds_plateau_count,plateau_window
4,0.4,56791,all,1.0,23,22,0.33989234848866695,0.894770144310442,71,10-80
4,0.4,56792,all,1.0,25,24,0.36707105866746004,0.7733957026890665,71,10-80
4,0.4,56793,all,1.0,24,23,0.3981319374552601,0.7855043688118809,71,10-80
4,0.4,56794,all,1.0,28,27,0.3898647997317012,0.6142702796592228,71,10-80
4,0.4,56795,all,1.0,23,22,0.34732106884477576,0.6937148342651211,71,10-80
4,0.8,56791,all,1.0,22,21,0.3730146486271282,0.7631016931050161,71,10-80
4,0.8,56792,all,1.0,22,21,0.3791861328506964,0.8719511566569473,71,10-80
4,0.8,56793,all,1.0,21,20,0.3106172170254315,0.652662041249496,71,10-80
4,0.8,56794,all,1.0,22,21,0.39069597934561207,0.6284445966560609,71,10-80
4,0.8,56795,all,1.0,22,21,0.3505616945485401,0.8417084145354424,71,10-80
8,0.4,56791,all,1.0,24,23,0.3658760691989512,0.6902348182821253,71,10-80
8,0.4,56792,all,1.0,24,23,0.3281661756295535,0.8192432621976067,71,10-80
8,0.4,56793,all,1.0,24,23,0.3494061216246055,0.7103368830537541,71,10-80
8,0.4,56794,all,1.0,25,24,0.384601304135862,1.0906578111878231,71,10-80
8,0.4,56795,all,1.0,21,20,0.34049026596023324,0.6635508985800188,71,10-80
8,0.8,56791,all,1.0,21,20,0.3409545189284552,0.6906551334908093,71,10-80
8,0.8,56792,all,1.0,22,21,0.34666727741737574,0.6641006075344641,71,10-80
8,0.8,56793,all,1.0,23,22,0.3548979007048524,0.7538782495506996,71,10-80
8,0.8,56794,all,1.0,22,21,0.35340215346922277,0.6072284754275609,71,10-80
8,0.8,56795,all,1.0,23,22,0.38852938182848473,0.7558760283667788,71,10-80
