N,n,seed,edge_source,resolution,mode,t,P0,d_s
4,0.4,56791,core,1.0,exact,0,1.0,
4,0.4,56791,core,1.0,exact,1,7.723290606088045e-17,
4,0.4,56791,core,1.0,exact,2,0.5012077294685994,-53.9071390611382
4,0.4,56791,core,1.0,exact,3,0.007246376811594732,0.8228737360364226
4,0.4,56791,core,1.0,exact,4,0.3768451422436938,-1.0160461159794667
4,0.4,56791,core,1.0,exact,5,0.009393451422437872,0.881203694741168
4,0.4,56791,core,1.0,exact,6,0.3151931621637751,-0.5061802970460464
4,0.4,56791,core,1.0,exact,7,0.010228424882210431,0.9011119166910537
4,0.4,56791,core,1.0,exact,8,0.276875734122252,-0.29883955257981487
4,0.4,56791,core,1.0,exact,9,0.01061981869147897,0.910131033146599
4,0.4,56791,core,1.0,exact,10,0.25014077435551096,-0.19464867200128586
4,0.4,56791,core,1.0,exact,11,0.01082926385014261,0.9147245671136846
4,0.4,56791,core,1.0,exact,12,0.2301282709496385,-0.13518920067281182
4,0.4,56791,core,1.0,exact,13,0.01095224041650146,0.9170951308950543
4,0.4,56791,core,1.0,exact,14,0.21442315754483907,-0.09793485736379866
4,0.4,56791,core,1.0,exact,15,0.011029255353112784,0.9181966949888204
4,0.4,56791,core,1.0,exact,16,0.20167296345278302,-0.07289331614207087
4,0.4,56791,core,1.0,exact,17,0.011079683303679732,0.9185143834417778
4,0.4,56791,core,1.0,exact,18,0.19105372790470496,-0.05514417592719417
4,0.4,56791,core,1.0,exact,19,0.011113713777592838,0.9183225037196056
4,0.4,56791,core,1.0,exact,20,0.18203103966664563,-0.042045338736567295
4,0.4,56791,core,1.0,exact,21,0.011137121886810868,0.9177877106033053
4,0.4,56791,core,1.0,exact,22,0.17424109860575746,-0.03207127003277588
4,0.4,56791,core,1.0,exact,23,0.011153380467479091,0.9170165786893042
4,0.4,56791,core,1.0,exact,24,0.16742651300665182,-0.024286432053953574
4,0.4,56791,core,1.0,exact,25,0.01116467921734164,0.9160799442152496
4,0.4,56791,core,1.0,exact,26,0.16139935621721851,-0.018087895155276982
4,0.4,56791,core,1.0,exact,27,0.011172452892169343,0.9150263402670654
4,0.4,56791,core,1.0,exact,28,0.15601878143467068,-0.013070851115391349
4,0.4,56791,core,1.0,exact,29,0.011177671810907886,0.9138898454415948
4,0.4,56791,core,1.0,exact,30,0.15117686631611885,-0.008954124642332457
4,0.4,56791,core,1.0,exact,31,0.011181009754551292,0.9126948768705025
4,0.4,56791,core,1.0,exact,32,0.14678933485406623,-0.005536780757143346
4,0.4,56791,core,1.0,exact,33,0.011182945139642405,0.911459224580892
4,0.4,56791,core,1.0,exact,34,0.142789287172037,-0.0026717248868531624
4,0.4,56791,core,1.0,exact,35,0.011183824185147946,0.9101960313161046
4,0.4,56791,core,1.0,exact,36,0.13912284872331632,-0.00024903027567514994
4,0.4,56791,core,1.0,exact,37,0.011183901569512527,0.9089151181057609
4,0.4,56791,core,1.0,exact,38,0.1357460810020806,0.001814935888995994
4,0.4,56791,core,1.0,exact,39,0.011183367299329712,0.9076238920309647
4,0.4,56791,core,1.0,exact,40,0.13262274307194066,0.0035848051523744606
4,0.4,56791,core,1.0,exact,41,0.01118236488055888,0.9063279805825196
4,0.4,56791,core,1.0,exact,42,0.12972264015356236,0.0051112190947198224
4,0.4,56791,core,1.0,exact,43,0.01118100386051186,0.9050316834655836
4,0.4,56791,core,1.0,exact,44,0.1270203855742272,0.0064343465061521546
4,0.4,56791,core,1.0,exact,45,0.011179368642740531,0.9037383005294413
4,0.4,56791,core,1.0,exact,46,0.12449445910442912,0.007586396818705834
4,0.4,56791,core,1.0,exact,47,0.011177524784145505,0.9024503745427354
4,0.4,56791,core,1.0,exact,48,0.12212648130949219,0.008593442839262293
4,0.4,56791,core,1.0,exact,49,0.011175523560804793,0.9011698747489925
4,0.4,56791,core,1.0,exact,50,0.11990064768534735,0.009476757250524315
4,0.4,56791,core,1.0,exact,51,0.01117340532461095,0.8998983387200262
4,0.4,56791,core,1.0,exact,52,0.11780328258700745,0.010253799595796297
4,0.4,56791,core,1.0,exact,53,0.011171202003694227,0.8986369843516575
4,0.4,56791,core,1.0,exact,54,0.11582248407981748,0.010938947565457834
4,0.4,56791,core,1.0,exact,55,0.011168938989147042,0.8973867999824117
4,0.4,56791,core,1.0,exact,56,0.11394783858561372,0.011544038832671473
4,0.4,56791,core,1.0,exact,57,0.011166636576979428,0.8961486179745589
4,0.4,56791,core,1.0,exact,58,0.11217018966663216,0.012078771640766602
4,0.4,56791,core,1.0,exact,59,0.011164311084321952,0.8949231753107351
4,0.4,56791,core,1.0,exact,60,0.11048144920918831,0.012551000199075341
4,0.4,56791,core,1.0,exact,61,0.011161975724492575,0.8937111635736456
4,0.4,56791,core,1.0,exact,62,0.1088744421125976,0.012966952472443062
4,0.4,56791,core,1.0,exact,63,0.011159641301516015,0.8925132699085567
4,0.4,56791,core,1.0,exact,64,0.10734277767606977,0.013331391767100916
4,0.4,56791,core,1.0,exact,65,0.01115731676772332,0.8913302100971963
4,0.4,56791,core,1.0,exact,66,0.10588074242522563,0.01364773880008127
4,0.4,56791,core,1.0,exact,67,0.011155009675998893,0.8901627545913963
4,0.4,56791,core,1.0,exact,68,0.10448321028098621,0.013918167199206584
4,0.4,56791,core,1.0,exact,69,0.011152726549628135,0.8890117482024363
4,0.4,56791,core,1.0,exact,70,0.10314556685223966,0.014143682346710922
4,0.4,56791,core,1.0,exact,71,0.01115047318653472,0.887878124068746
4,0.4,56791,core,1.0,exact,72,0.10186364530452789,0.014324190970454571
4,0.4,56791,core,1.0,exact,73,0.011148254910289892,0.8867629124916402
4,0.4,56791,core,1.0,exact,74,0.1006336717734531,0.014458566833591896
4,0.4,56791,core,1.0,exact,75,0.011146076777131352,0.8856672452165383
4,0.4,56791,core,1.0,exact,76,0.09945221869225117,0.014544716183999494
4,0.4,56791,core,1.0,exact,77,0.011143943745993732,0.8845923557330926
4,0.4,56791,core,1.0,exact,78,0.09831616471625854,0.014579645278492193
4,0.4,56791,core,1.0,exact,79,0.0111418608169686,0.8835395761570503
4,0.4,56791,core,1.0,exact,80,0.09722266017363555,0.014559531232628244
4,0.4,56791,core,1.0,exact,81,0.011139833142492252,0.8825103312442748
4,0.4,56791,core,1.0,exact,82,0.09616909716717896,0.014479796641341053
4,0.4,56791,core,1.0,exact,83,0.011137866114768032,0.8815061300643672
