N,n,seed,edge_source,resolution,mode,K_super,E_super,ds_plateau_mean,ds_plateau_std,ds_plateau_count,plateau_window
4,0.4,56791,core,1.0,exact,46,46,0.4386772353131652,0.4624165825712534,71,10-80
4,0.4,56792,core,1.0,exact,47,46,0.4124849293055468,0.42164625644837483,71,10-80
4,0.4,56793,core,1.0,exact,43,43,0.29878046610906484,0.6680466409904289,71,10-80
4,0.4,56794,core,1.0,exact,43,42,-0.4011115824493985,1.25595359378749,71,10-80
4,0.4,56795,core,1.0,exact,42,41,-0.46907675619632094,1.324944317984503,71,10-80
4,0.8,56791,core,1.0,exact,22,21,-0.3101204269211714,1.0740301636387544,71,10-80
4,0.8,56792,core,1.0,exact,22,21,-0.3101204269211714,1.0740301636387544,71,10-80
4,0.8,56793,core,1.0,exact,21,20,0.19254505830798352,0.7161116423054833,71,10-80
4,0.8,56794,core,1.0,exact,22,21,-0.3101204269211714,1.0740301636387544,71,10-80
4,0.8,56795,core,1.0,exact,22,21,-0.3101204269211714,1.0740301636387544,71,10-80
8,0.4,56791,core,1.0,exact,79,83,0.6794754307898341,0.3324367842519738,71,10-80
8,0.4,56792,core,1.0,exact,77,77,0.454374594131711,0.4782902172933562,71,10-80
8,0.4,56793,core,1.0,exact,74,75,0.35246856358485623,0.7230092612835617,71,10-80
8,0.4,56794,core,1.0,exact,73,74,0.466123808242258,0.5207696412545505,71,10-80
8,0.4,56795,core,1.0,exact,80,82,0.4980257121842688,0.5052594417988734,71,10-80
8,0.8,56791,core,1.0,exact,21,20,0.19254505830798352,0.7161116423054833,71,10-80
8,0.8,56792,core,1.0,exact,22,21,-0.3101204269211714,1.0740301636387544,71,10-80
8,0.8,56793,core,1.0,exact,23,22,0.3549756905757458,0.36379226105467716,71,10-80
8,0.8,56794,core,1.0,exact,22,21,-0.3101204269211714,1.0740301636387544,71,10-80
8,0.8,56795,core,1.0,exact,23,22,0.3549756905757458,0.36379226105467716,71,10-80
