N,n,seed,edge_source,resolution,t,P0,d_s
4,0.4,56791,core,1.0,0,1.0,
4,0.4,56791,core,1.0,1,0.0,
4,0.4,56791,core,1.0,2,0.50155,-54.30167858294522
4,0.4,56791,core,1.0,3,0.009,0.8470962962141861
4,0.4,56791,core,1.0,4,0.37395,-0.4514685291661039
4,0.4,56791,core,1.0,5,0.0101,0.8009825135315989
4,0.4,56791,core,1.0,6,0.3179,-0.6144837118921863
4,0.4,56791,core,1.0,7,0.0112,0.7925122561350285
4,0.4,56791,core,1.0,8,0.28365,-0.1408560361653238
4,0.4,56791,core,1.0,9,0.0114,1.0817770614977487
4,0.4,56791,core,1.0,10,0.2514,-0.08704489660177404
4,0.4,56791,core,1.0,11,0.0115,0.8738580680313486
4,0.4,56791,core,1.0,12,0.23215,1.0322546212620676
4,0.4,56791,core,1.0,13,0.01055,0.697449640492129
4,0.4,56791,core,1.0,14,0.22,-0.835605393481824
4,0.4,56791,core,1.0,15,0.0112,0.8472966600066055
4,0.4,56791,core,1.0,16,0.2079,-0.07117670976059498
4,0.4,56791,core,1.0,17,0.01125,0.9835482233907802
4,0.4,56791,core,1.0,18,0.1962,1.155170184727463
4,0.4,56791,core,1.0,19,0.01055,0.8913582625254156
4,0.4,56791,core,1.0,20,0.1872,-0.6521942743303638
4,0.4,56791,core,1.0,21,0.0109,1.258847161191584
4,0.4,56791,core,1.0,22,0.1763,-1.7442055943351322
4,0.4,56791,core,1.0,23,0.0118,0.7284980228075819
4,0.4,56791,core,1.0,24,0.1708,2.7997606616937194
4,0.4,56791,core,1.0,25,0.0105,1.0685115896302515
4,0.4,56791,core,1.0,26,0.16365,-2.92298497437787
4,0.4,56791,core,1.0,27,0.01175,0.9567519571459505
4,0.4,56791,core,1.0,28,0.15795,0.9693814388747687
4,0.4,56791,core,1.0,29,0.01135,1.26607467007433
4,0.4,56791,core,1.0,30,0.1512,-1.4190937447544816
4,0.4,56791,core,1.0,31,0.0119,1.0103253075180318
4,0.4,56791,core,1.0,32,0.14635,-0.13412841712621146
4,0.4,56791,core,1.0,33,0.01195,1.0535676618893433
4,0.4,56791,core,1.0,34,0.14175,-0.703755860457386
4,0.4,56791,core,1.0,35,0.0122,1.8500359384023024
4,0.4,56791,core,1.0,36,0.13445,2.5991866564698216
4,0.4,56791,core,1.0,37,0.01135,0.848805473085341
4,0.4,56791,core,1.0,38,0.1314,-3.3614154173955377
4,0.4,56791,core,1.0,39,0.0124,0.6432650840214248
4,0.4,56791,core,1.0,40,0.12925,-0.4808675003582793
4,0.4,56791,core,1.0,41,0.01255,-0.110853102286952
4,0.4,56791,core,1.0,42,0.1296,4.778985899776044
4,0.4,56791,core,1.0,43,0.0112,0.6517899886220104
4,0.4,56791,core,1.0,44,0.12765,-0.5852736860552589
4,0.4,56791,core,1.0,45,0.01135,0.6032220147630599
4,0.4,56791,core,1.0,46,0.12595,-3.3215141730290783
4,0.4,56791,core,1.0,47,0.0122,1.981348320078586
4,0.4,56791,core,1.0,48,0.12075,-1.5482973267734832
4,0.4,56791,core,1.0,49,0.0126,-0.18224396657964057
4,0.4,56791,core,1.0,50,0.1212,3.4917129948638146
4,0.4,56791,core,1.0,51,0.01175,1.7113506509247967
4,0.4,56791,core,1.0,52,0.1172,5.848134054354036
4,0.4,56791,core,1.0,53,0.0105,0.1584944444258655
4,0.4,56791,core,1.0,54,0.11685,-8.32318507623147
4,0.4,56791,core,1.0,55,0.01225,0.04708385463941824
4,0.4,56791,core,1.0,56,0.11675,3.294717730425382
4,0.4,56791,core,1.0,57,0.01155,2.443693132288453
4,0.4,56791,core,1.0,58,0.11185,-2.2166106640133427
4,0.4,56791,core,1.0,59,0.012,1.064428512188843
4,0.4,56791,core,1.0,60,0.10985,1.5189278141482085
4,0.4,56791,core,1.0,61,0.0117,-0.38744390337981766
4,0.4,56791,core,1.0,62,0.11055,5.829289311131173
4,0.4,56791,core,1.0,63,0.01065,0.9473067031308655
4,0.4,56791,core,1.0,64,0.1089,-0.29974195935832293
4,0.4,56791,core,1.0,65,0.0107,1.6929853928946579
4,0.4,56791,core,1.0,66,0.1061,0.9317088752241955
4,0.4,56791,core,1.0,67,0.01055,2.1820231728502475
4,0.4,56791,core,1.0,68,0.1027,2.2940281023895768
4,0.4,56791,core,1.0,69,0.0102,0.13449354904303118
4,0.4,56791,core,1.0,70,0.1025,-1.694882756174716
4,0.4,56791,core,1.0,71,0.01045,-0.13839245106598824
4,0.4,56791,core,1.0,72,0.1027,-8.13453105004717
4,0.4,56791,core,1.0,73,0.0117,-0.38987699831086764
4,0.4,56791,core,1.0,74,0.10325,2.574015888472836
4,0.4,56791,core,1.0,75,0.0113,0.21822194450043655
4,0.4,56791,core,1.0,76,0.10295,-2.3181287330419917
4,0.4,56791,core,1.0,77,0.01165,2.0078729692342008
4,0.4,56791,core,1.0,78,0.1003,6.270889577544182
4,0.4,56791,core,1.0,79,0.01075,3.379153441576535
4,0.4,56791,core,1.0,80,0.0961,4.594324616693775
4,0.4,56791,core,1.0,81,0.01015,-0.713255082278949
4,0.4,56791,core,1.0,82,0.09695,2.044892382615003
4,0.4,56791,core,1.0,83,0.0099,0.9903659027513311
4,0.4,56791,core,1.0,84,0.0958,-2.5075304359563644
4,0.4,56791,core,1.0,85,0.0102,0.48937945251510895
4,0.4,56791,core,1.0,86,0.09525,-3.712639440374747
4,0.4,56791,core,1.0,87,0.01065,2.0796887189980753
4,0.4,56791,core,1.0,88,0.093,-7.518854456976784
4,0.4,56791,core,1.0,89,0.0116,0.04786031551514904
4,0.4,56791,core,1.0,90,0.09295,1.5651924280855476
4,0.4,56791,core,1.0,91,0.0114,1.7295507306494724
4,0.4,56791,core,1.0,92,0.0912,-5.482257022407797
4,0.4,56791,core,1.0,93,0.0121,-3.2563343004930476
4,0.4,56791,core,1.0,94,0.09445,1.566643828803125
4,0.4,56791,core,1.0,95,0.0119,3.5349227368363656
4,0.4,56791,core,1.0,96,0.091,-6.6230760972336356
4,0.4,56791,core,1.0,97,0.01275,3.0863916254823995
4,0.4,56791,core,1.0,98,0.08815,4.321191358546054
4,0.4,56791,core,1.0,99,0.0122,0.5631222971490654
4,0.4,56791,core,1.0,100,0.08765,10.809289216409253
4,0.4,56791,core,1.0,101,0.01095,-2.0530809658178377
4,0.4,56791,core,1.0,102,0.08945,6.241747234126182
4,0.4,56791,core,1.0,103,0.0103,-0.5741194557315463
4,0.4,56791,core,1.0,104,0.08995,2.0392181751768836
4,0.4,56791,core,1.0,105,0.0101,1.7656832908965678
4,0.4,56791,core,1.0,106,0.08845,-3.6109476536695633
4,0.4,56791,core,1.0,107,0.01045,4.824954458850288
4,0.4,56791,core,1.0,108,0.08455,-10.808704617528063
4,0.4,56791,core,1.0,109,0.01155,-3.301266306732549
4,0.4,56791,core,1.0,110,0.08715,-1.8884063736663075
4,0.4,56791,core,1.0,111,0.01175,4.15232977417807
4,0.4,56791,core,1.0,112,0.08395,12.597199380769235
4,0.4,56791,core,1.0,113,0.0105,-1.7363954577870657
4,0.4,56791,core,1.0,114,0.08525,-9.374902731805124
4,0.4,56791,core,1.0,115,0.0114,3.6314285646766766
4,0.4,56791,core,1.0,116,0.0826,1.0220077247268111
4,0.4,56791,core,1.0,117,0.0113,-4.719386115788219
4,0.4,56791,core,1.0,118,0.086,4.795127398547499
4,0.4,56791,core,1.0,119,0.01085,1.1121314483909686
4,0.4,56791,core,1.0,120,0.0852,8.002779682591898
4,0.4,56791,core,1.0,121,0.01015,2.583669235832985
4,0.4,56791,core,1.0,122,0.0834,-10.91526668355578
4,0.4,56791,core,1.0,123,0.0111,2.3074298413299767
4,0.4,56791,core,1.0,124,0.08185,-11.716610572144818
4,0.4,56791,core,1.0,125,0.0122,3.8773993845606975
4,0.4,56791,core,1.0,126,0.07935,31.51750152658847
4,0.4,56791,core,1.0,127,0.0095,-0.07999834928128162
4,0.4,56791,core,1.0,128,0.0794,-10.9687011344565
4,0.4,56791,core,1.0,129,0.01035,0.4883188770595095
4,0.4,56791,core,1.0,130,0.0791,-5.532640745505177
4,0.4,56791,core,1.0,131,0.0108,2.2550326035376065
4,0.4,56791,core,1.0,132,0.07775,2.46731435452562
4,0.4,56791,core,1.0,133,0.0106,-0.9375062406128564
4,0.4,56791,core,1.0,134,0.0783,-7.974745042050461
4,0.4,56791,core,1.0,135,0.01125,5.184401694490272
4,0.4,56791,core,1.0,136,0.07535,16.01820416119495
4,0.4,56791,core,1.0,137,0.01,-4.910832834814765
4,0.4,56791,core,1.0,138,0.0781,-1.373121622785062
4,0.4,56791,core,1.0,139,0.0101,2.152263933592537
4,0.4,56791,core,1.0,140,0.0769,-4.097783829681036
4,0.4,56791,core,1.0,141,0.0104,-3.441346268842914
4,0.4,56791,core,1.0,142,0.0788,-2.704798971174645
4,0.4,56791,core,1.0,143,0.0106,3.8625512899614782
4,0.4,56791,core,1.0,144,0.0767,-16.65828566451798
4,0.4,56791,core,1.0,145,0.0119,4.414566156298338
4,0.4,56791,core,1.0,146,0.0744,4.358464461550769
4,0.4,56791,core,1.0,147,0.01155,6.462479452051622
4,0.4,56791,core,1.0,148,0.0712,-2.540796269414939
4,0.4,56791,core,1.0,149,0.01175,-3.923937785409357
4,0.4,56791,core,1.0,150,0.0731,-9.879967374353537
4,0.4,56791,core,1.0,151,0.01255,10.14505902447735
4,0.4,56791,core,1.0,152,0.06835,3.6775456860049562
4,0.4,56791,core,1.0,153,0.01225,-3.977062603928492
4,0.4,56791,core,1.0,154,0.07015,-8.557636795424916
4,0.4,56791,core,1.0,155,0.01295,-4.3572187386047885
4,0.4,56791,core,1.0,156,0.07215,17.847770314487605
4,0.4,56791,core,1.0,157,0.01155,3.0763339424667873
4,0.4,56791,core,1.0,158,0.07075,0.6854582997346506
4,0.4,56791,core,1.0,159,0.0115,-1.1197081735897503
4,0.4,56791,core,1.0,160,0.07125,-12.0557529790563
4,0.4,56791,core,1.0,161,0.0124,-1.2380188409939
4,0.4,56791,core,1.0,162,0.0718,6.6675230556957885
4,0.4,56791,core,1.0,163,0.0119,0.5685319854953645
4,0.4,56791,core,1.0,164,0.07155,32.68005785106082
4,0.4,56791,core,1.0,165,0.00975,-2.970958019226624
4,0.4,56791,core,1.0,166,0.07285,-23.01503947704605
4,0.4,56791,core,1.0,167,0.0112,8.825477426244786
4,0.4,56791,core,1.0,168,0.0691,-12.289202972774182
4,0.4,56791,core,1.0,169,0.01205,0.4898496983078966
4,0.4,56791,core,1.0,170,0.0689,9.426613042104607
4,0.4,56791,core,1.0,171,0.0114,0.9956246506202397
4,0.4,56791,core,1.0,172,0.0685,6.143440985843371
4,0.4,56791,core,1.0,173,0.011,-0.3784137269675202
4,0.4,56791,core,1.0,174,0.06865,-20.14215574203764
4,0.4,56791,core,1.0,175,0.01235,-7.362859665169565
4,0.4,56791,core,1.0,176,0.0716,2.873502296175138
4,0.4,56791,core,1.0,177,0.01215,8.09275202617873
4,0.4,56791,core,1.0,178,0.0684,5.958652707423551
4,0.4,56791,core,1.0,179,0.01175,3.9690791990403396
4,0.4,56791,core,1.0,180,0.0669,7.82723962050484
4,0.4,56791,core,1.0,181,0.01125,1.9038298873589337
4,0.4,56791,core,1.0,182,0.0662,-14.006768531352627
4,0.4,56791,core,1.0,183,0.01215,1.3874075439566307
4,0.4,56791,core,1.0,184,0.0657,2.285721174992194
4,0.4,56791,core,1.0,185,0.012,-1.4025707681592818
4,0.4,56791,core,1.0,186,0.0662,8.726462999371712
4,0.4,56791,core,1.0,187,0.01145,-6.523048172814412
4,0.4,56791,core,1.0,188,0.06855,-4.8622941332705
4,0.4,56791,core,1.0,189,0.01175,11.216855423805391
4,0.4,56791,core,1.0,190,0.0646,-10.994701118431086
4,0.4,56791,core,1.0,191,0.01245,-2.9339786571225344
4,0.4,56791,core,1.0,192,0.0656,7.068218925951357
4,0.4,56791,core,1.0,193,0.012,-4.075529752466529
4,0.4,56791,core,1.0,194,0.067,1.6234260575424106
4,0.4,56791,core,1.0,195,0.0119,8.324361721675281
4,0.4,56791,core,1.0,196,0.0642,-4.074955496441095
4,0.4,56791,core,1.0,197,0.01215,-0.9184086934435346
4,0.4,56791,core,1.0,198,0.0645,-4.032691670616195
4,0.4,56791,core,1.0,199,0.0124,7.22567376570687
4,0.4,56791,core,1.0,200,0.0622,
4,0.4,56792,core,1.0,0,1.0,
4,0.4,56792,core,1.0,1,0.0,
4,0.4,56792,core,1.0,2,0.51585,-0.0
4,0.4,56792,core,1.0,3,0.0,0.8453107385631854
4,0.4,56792,core,1.0,4,0.38485,-0.0
4,0.4,56792,core,1.0,5,0.0,0.8474294551973827
4,0.4,56792,core,1.0,6,0.3241,-0.0
4,0.4,56792,core,1.0,7,0.0,0.836695343356327
4,0.4,56792,core,1.0,8,0.28735,-0.0
4,0.4,56792,core,1.0,9,0.0,0.862051151060371
4,0.4,56792,core,1.0,10,0.261,-0.0
4,0.4,56792,core,1.0,11,0.0,0.9751345629930902
4,0.4,56792,core,1.0,12,0.2388,-0.0
4,0.4,56792,core,1.0,13,0.0,0.8040628346232866
4,0.4,56792,core,1.0,14,0.22445,-0.0
4,0.4,56792,core,1.0,15,0.0,0.3852792887819172
4,0.4,56792,core,1.0,16,0.21875,-0.0
4,0.4,56792,core,1.0,17,0.0,1.4538619580146512
4,0.4,56792,core,1.0,18,0.2008,-0.0
4,0.4,56792,core,1.0,19,0.0,1.0894555258830425
4,0.4,56792,core,1.0,20,0.1896,-0.0
4,0.4,56792,core,1.0,21,0.0,1.0612048735966835
4,0.4,56792,core,1.0,22,0.18025,-0.0
4,0.4,56792,core,1.0,23,0.0,0.5027875719195722
4,0.4,56792,core,1.0,24,0.17635,-0.0
4,0.4,56792,core,1.0,25,0.0,1.0194149780482802
4,0.4,56792,core,1.0,26,0.1693,-0.0
4,0.4,56792,core,1.0,27,0.0,0.28041449937983126
4,0.4,56792,core,1.0,28,0.16755,-0.0
4,0.4,56792,core,1.0,29,0.0,0.7004509213244243
4,0.4,56792,core,1.0,30,0.16355,-0.0
4,0.4,56792,core,1.0,31,0.0,0.9133523561388123
4,0.4,56792,core,1.0,32,0.1588,-0.0
4,0.4,56792,core,1.0,33,0.0,0.2293145799767578
4,0.4,56792,core,1.0,34,0.1577,-0.0
4,0.4,56792,core,1.0,35,0.0,1.1273679439259583
4,0.4,56792,core,1.0,36,0.1527,-0.0
4,0.4,56792,core,1.0,37,0.0,0.02423255195437037
4,0.4,56792,core,1.0,38,0.1526,-0.0
4,0.4,56792,core,1.0,39,0.0,1.167107628160783
4,0.4,56792,core,1.0,40,0.1481,-0.0
4,0.4,56792,core,1.0,41,0.0,1.6952878464224908
4,0.4,56792,core,1.0,42,0.1421,-0.0
4,0.4,56792,core,1.0,43,0.0,0.7785068372651873
4,0.4,56792,core,1.0,44,0.13955,-0.0
4,0.4,56792,core,1.0,45,0.0,2.1291499749130183
4,0.4,56792,core,1.0,46,0.1331,-0.0
4,0.4,56792,core,1.0,47,0.0,-0.6660799554191298
4,0.4,56792,core,1.0,48,0.135,-0.0
4,0.4,56792,core,1.0,49,0.0,2.0756651834151856
4,0.4,56792,core,1.0,50,0.1294,-0.0
4,0.4,56792,core,1.0,51,0.0,-0.8596802795772621
4,0.4,56792,core,1.0,52,0.1316,-0.0
4,0.4,56792,core,1.0,53,0.0,1.2632701319806514
4,0.4,56792,core,1.0,54,0.1285,-0.0
4,0.4,56792,core,1.0,55,0.0,2.8771607766248364
4,0.4,56792,core,1.0,56,0.12195,-0.0
4,0.4,56792,core,1.0,57,0.0,0.5164250054526219
4,0.4,56792,core,1.0,58,0.12085,-0.0
4,0.4,56792,core,1.0,59,0.0,-0.4377177118137419
4,0.4,56792,core,1.0,60,0.12175,-0.0
4,0.4,56792,core,1.0,61,0.0,1.7791334066132467
4,0.4,56792,core,1.0,62,0.11825,-0.0
4,0.4,56792,core,1.0,63,0.0,-0.10645496177560952
4,0.4,56792,core,1.0,64,0.11845,-0.0
4,0.4,56792,core,1.0,65,0.0,2.1192826590209126
4,0.4,56792,core,1.0,66,0.11465,-0.0
4,0.4,56792,core,1.0,67,0.0,0.5574393741555361
4,0.4,56792,core,1.0,68,0.1137,-0.0
4,0.4,56792,core,1.0,69,0.0,1.039379753255011
4,0.4,56792,core,1.0,70,0.112,-0.0
4,0.4,56792,core,1.0,71,0.0,0.09514672621234338
4,0.4,56792,core,1.0,72,0.11185,-0.0
4,0.4,56792,core,1.0,73,0.0,1.4833630837929908
4,0.4,56792,core,1.0,74,0.1096,-0.0
4,0.4,56792,core,1.0,75,0.0,-0.20499936776788275
4,0.4,56792,core,1.0,76,0.1099,-0.0
4,0.4,56792,core,1.0,77,0.0,1.7717226909693435
4,0.4,56792,core,1.0,78,0.1074,-0.0
4,0.4,56792,core,1.0,79,0.0,2.427383475445502
4,0.4,56792,core,1.0,80,0.10415,-0.0
4,0.4,56792,core,1.0,81,0.0,-1.6168916937796065
4,0.4,56792,core,1.0,82,0.10625,-0.0
4,0.4,56792,core,1.0,83,0.0,1.4578354401159412
4,0.4,56792,core,1.0,84,0.1044,-0.0
4,0.4,56792,core,1.0,85,0.0,1.5196611120003853
4,0.4,56792,core,1.0,86,0.10255,-0.0
4,0.4,56792,core,1.0,87,0.0,1.1098778501616666
4,0.4,56792,core,1.0,88,0.10125,-0.0
4,0.4,56792,core,1.0,89,0.0,-1.091992283721294
4,0.4,56792,core,1.0,90,0.1025,-0.0
4,0.4,56792,core,1.0,91,0.0,0.5788873838946359
4,0.4,56792,core,1.0,92,0.10185,-0.0
4,0.4,56792,core,1.0,93,0.0,-0.22798838499087318
4,0.4,56792,core,1.0,94,0.1021,-0.0
4,0.4,56792,core,1.0,95,0.0,-0.2787185113078865
4,0.4,56792,core,1.0,96,0.1024,-0.0
4,0.4,56792,core,1.0,97,0.0,1.9132092350079783
4,0.4,56792,core,1.0,98,0.1004,-0.0
4,0.4,56792,core,1.0,99,0.0,0.34571071817274707
4,0.4,56792,core,1.0,100,0.10005,-0.0
4,0.4,56792,core,1.0,101,0.0,-0.7542731068787851
4,0.4,56792,core,1.0,102,0.1008,-0.0
4,0.4,56792,core,1.0,103,0.0,3.957895481220245
4,0.4,56792,core,1.0,104,0.097,-0.0
4,0.4,56792,core,1.0,105,0.0,0.43387179638470347
4,0.4,56792,core,1.0,106,0.0966,-0.0
4,0.4,56792,core,1.0,107,0.0,-0.6074678156083684
4,0.4,56792,core,1.0,108,0.09715,-0.0
4,0.4,56792,core,1.0,109,0.0,0.28084772515174583
4,0.4,56792,core,1.0,110,0.0969,-0.0
4,0.4,56792,core,1.0,111,0.0,5.158127500800265
4,0.4,56792,core,1.0,112,0.0925,-0.0
4,0.4,56792,core,1.0,113,0.0,0.7353413158056218
4,0.4,56792,core,1.0,114,0.0919,-0.0
4,0.4,56792,core,1.0,115,0.0,-2.5370311490150184
4,0.4,56792,core,1.0,116,0.09395,-0.0
4,0.4,56792,core,1.0,117,0.0,0.24932806653047257
4,0.4,56792,core,1.0,118,0.09375,-0.0
4,0.4,56792,core,1.0,119,0.0,-0.3801830672430657
4,0.4,56792,core,1.0,120,0.09405,-0.0
4,0.4,56792,core,1.0,121,0.0,2.0107214784641663
4,0.4,56792,core,1.0,122,0.0925,-0.0
4,0.4,56792,core,1.0,123,0.0,1.7408725771703146
4,0.4,56792,core,1.0,124,0.0912,-0.0
4,0.4,56792,core,1.0,125,0.0,-0.0
4,0.4,56792,core,1.0,126,0.0912,-0.0
4,0.4,56792,core,1.0,127,0.0,5.477633074673361
4,0.4,56792,core,1.0,128,0.08735,-0.0
4,0.4,56792,core,1.0,129,0.0,-4.8547301019275695
4,0.4,56792,core,1.0,130,0.0907,-0.0
4,0.4,56792,core,1.0,131,0.0,-1.0787663661985283
4,0.4,56792,core,1.0,132,0.09145,-0.0
4,0.4,56792,core,1.0,133,0.0,-1.1583959454676287
4,0.4,56792,core,1.0,134,0.09225,-0.0
4,0.4,56792,core,1.0,135,0.0,2.7347820750148277
4,0.4,56792,core,1.0,136,0.0904,-0.0
4,0.4,56792,core,1.0,137,0.0,3.2976097404075864
4,0.4,56792,core,1.0,138,0.08825,-0.0
4,0.4,56792,core,1.0,139,0.0,0.8689847119778704
4,0.4,56792,core,1.0,140,0.0877,-0.0
4,0.4,56792,core,1.0,141,0.0,2.678021215400842
4,0.4,56792,core,1.0,142,0.08605,-0.0
4,0.4,56792,core,1.0,143,0.0,-2.1441805382172445
4,0.4,56792,core,1.0,144,0.08735,-0.0
4,0.4,56792,core,1.0,145,0.0,1.7535207797884809
4,0.4,56792,core,1.0,146,0.0863,-0.0
4,0.4,56792,core,1.0,147,0.0,-1.356390084245366
4,0.4,56792,core,1.0,148,0.0871,-0.0
4,0.4,56792,core,1.0,149,0.0,-0.7678115276432493
4,0.4,56792,core,1.0,150,0.08755,-0.0
4,0.4,56792,core,1.0,151,0.0,8.240704009166961
4,0.4,56792,core,1.0,152,0.0829,-0.0
4,0.4,56792,core,1.0,153,0.0,-1.3779542676778405
4,0.4,56792,core,1.0,154,0.08365,-0.0
4,0.4,56792,core,1.0,155,0.0,-2.75477362787312
4,0.4,56792,core,1.0,156,0.08515,-0.0
4,0.4,56792,core,1.0,157,0.0,4.678471236703353
4,0.4,56792,core,1.0,158,0.08265,-0.0
4,0.4,56792,core,1.0,159,0.0,-0.0
4,0.4,56792,core,1.0,160,0.08265,-0.0
4,0.4,56792,core,1.0,161,0.0,-4.892181227603807
4,0.4,56792,core,1.0,162,0.0852,-0.0
4,0.4,56792,core,1.0,163,0.0,9.249196611377565
4,0.4,56792,core,1.0,164,0.0805,-0.0
4,0.4,56792,core,1.0,165,0.0,-2.8448632294201124
4,0.4,56792,core,1.0,166,0.0819,-0.0
4,0.4,56792,core,1.0,167,0.0,-3.430895374246303
4,0.4,56792,core,1.0,168,0.0836,-0.0
4,0.4,56792,core,1.0,169,0.0,2.648606784545042
4,0.4,56792,core,1.0,170,0.0823,-0.0
4,0.4,56792,core,1.0,171,0.0,2.195663956886984
4,0.4,56792,core,1.0,172,0.08125,-0.0
4,0.4,56792,core,1.0,173,0.0,-2.43142143663943
4,0.4,56792,core,1.0,174,0.0824,-0.0
4,0.4,56792,core,1.0,175,0.0,3.43144514317144
4,0.4,56792,core,1.0,176,0.0808,-0.0
4,0.4,56792,core,1.0,177,0.0,-3.040533215518262
4,0.4,56792,core,1.0,178,0.0822,-0.0
4,0.4,56792,core,1.0,179,0.0,0.10891277353788838
4,0.4,56792,core,1.0,180,0.08215,-0.0
4,0.4,56792,core,1.0,181,0.0,3.560004787070593
4,0.4,56792,core,1.0,182,0.08055,-0.0
4,0.4,56792,core,1.0,183,0.0,5.067611328774681
4,0.4,56792,core,1.0,184,0.07835,-0.0
4,0.4,56792,core,1.0,185,0.0,4.420574119564492
4,0.4,56792,core,1.0,186,0.0765,-0.0
