N,n,seed,edge_source,resolution,K_super,E_super,ds_plateau_mean,ds_plateau_std,ds_plateau_count,plateau_window
4,0.4,56791,core,1.0,46,46,0.5932493184520695,2.4701985225879772,71,10-80
4,0.4,56792,core,1.0,47,46,0.45164544681558755,0.7676483812608165,71,10-80
4,0.4,56793,core,1.0,43,43,0.3955932223483054,2.796117419846085,71,10-80
4,0.4,56794,core,1.0,43,42,0.42634517482669376,0.8130986437076582,71,10-80
4,0.4,56795,core,1.0,42,41,0.39021947097913834,0.9037850870290108,71,10-80
4,0.8,56791,core,1.0,22,21,0.3694624678884022,0.7047286476567776,71,10-80
4,0.8,56792,core,1.0,22,21,0.39684380393087226,0.8850893965315153,71,10-80
4,0.8,56793,core,1.0,21,20,0.31209350781088946,0.6179194278223047,71,10-80
4,0.8,56794,core,1.0,22,21,0.38636221050313585,0.6528380508198696,71,10-80
4,0.8,56795,core,1.0,22,21,0.3525809877137851,0.8403985199833265,71,10-80
8,0.4,56791,core,1.0,79,83,0.6694325103638603,2.1561253017128554,71,10-80
8,0.4,56792,core,1.0,77,77,0.5039547091256402,4.335595862090718,71,10-80
8,0.4,56793,core,1.0,74,75,0.35686998727105756,2.8098403350011867,71,10-80
8,0.4,56794,core,1.0,73,74,0.546289962825466,3.1083069598730626,71,10-80
8,0.4,56795,core,1.0,80,82,0.5514890969784255,1.9637834322912138,71,10-80
8,0.8,56791,core,1.0,21,20,0.3418051672088698,0.7171713436263262,71,10-80
8,0.8,56792,core,1.0,22,21,0.37201658497127205,0.6397901601189697,71,10-80
8,0.8,56793,core,1.0,23,22,0.36426609292793316,0.6901595805087037,71,10-80
8,0.8,56794,core,1.0,22,21,0.3652658703017091,0.6481992398077107,71,10-80
8,0.8,56795,core,1.0,23,22,0.3749284117970159,0.6379253341816579,71,10-80
