N,n,seed_a,seed_b,J_super_edges,corr_weights,edges_a,edges_b,common_edges
4,0.4,56791,56792,0.5755813953488372,0.5446701537517453,139,132,99
4,0.4,56791,56793,0.64375,0.6943001119565959,139,124,103
4,0.4,56791,56794,0.4860335195530726,0.47749272058366155,139,127,87
4,0.4,56791,56795,0.5802469135802469,0.6349399585448794,139,117,94
4,0.4,56792,56793,0.673202614379085,0.724954296189187,132,124,103
4,0.4,56792,56794,0.61875,0.6941238596032147,132,127,99
4,0.4,56792,56795,0.5660377358490566,0.7203022716257977,132,117,90
4,0.4,56793,56794,0.56875,0.6494398840710287,124,127,91
4,0.4,56793,56795,0.8257575757575758,0.8171772683852274,124,117,109
4,0.4,56794,56795,0.5061728395061729,0.6132329287990808,127,117,82
4,0.8,56791,56792,0.4880952380952381,0.931313932625657,61,64,41
4,0.8,56791,56793,0.5058823529411764,0.8992207946417123,61,67,43
4,0.8,56791,56794,0.4065934065934066,0.9070982815536577,61,67,37
4,0.8,56791,56795,0.6623376623376623,0.9425917423079448,61,67,51
4,0.8,56792,56793,0.5057471264367817,0.8845774183477225,64,67,44
4,0.8,56792,56794,0.40860215053763443,0.8676103430316032,64,67,38
4,0.8,56792,56795,0.47191011235955055,0.8875643288118092,64,67,42
4,0.8,56793,56794,0.6144578313253012,0.918733888489234,67,67,51
4,0.8,56793,56795,0.6962025316455697,0.9343117537385782,67,67,55
4,0.8,56794,56795,0.5056179775280899,0.9245107647257803,67,67,45
8,0.4,56791,56792,0.47761194029850745,0.7828748978129262,205,191,128
8,0.4,56791,56793,0.36330935251798563,0.6966021164683862,205,174,101
8,0.4,56791,56794,0.4163568773234201,0.7443516423334832,205,176,112
8,0.4,56791,56795,0.4432234432234432,0.7773621866319104,205,189,121
8,0.4,56792,56793,0.42023346303501946,0.6853680600329722,191,174,108
8,0.4,56792,56794,0.4505928853754941,0.7584459866770484,191,176,114
8,0.4,56792,56795,0.5139442231075697,0.7430457022400768,191,189,129
8,0.4,56793,56794,0.4,0.7534963216912626,174,176,100
8,0.4,56793,56795,0.3595505617977528,0.6995637734092007,174,189,96
8,0.4,56794,56795,0.40384615384615385,0.7147764584569442,176,189,105
8,0.8,56791,56792,0.3020833333333333,0.8188315778890668,64,61,29
8,0.8,56791,56793,0.43956043956043955,0.8957545886875552,64,67,40
8,0.8,56791,56794,0.28846153846153844,0.8752621212714172,64,70,30
8,0.8,56791,56795,0.3617021276595745,0.9238202088169762,64,64,34
8,0.8,56792,56793,0.4065934065934066,0.8866520970232908,61,67,37
8,0.8,56792,56794,0.336734693877551,0.9099204150755484,61,70,33
8,0.8,56792,56795,0.3020833333333333,0.9074644953575615,61,64,29
8,0.8,56793,56794,0.4270833333333333,0.8842587703044972,67,70,41
8,0.8,56793,56795,0.47191011235955055,0.9041921907570801,67,64,42
8,0.8,56794,56795,0.3673469387755102,0.9095498884953952,70,64,36
